Employee_ID,Employee_Name,Age,Gender,Department,Job_Role,Joining_Date,Monthly_Salary,Performance_Rating,Attendance_Percentage,Promotion_Status,Work_Location,,,Days_Since_Joining,Min-max scaling of performance,min-max scaling of attendance,Scaling for attendance,Value of the Employee,Rating,,,
EMP0329,Sangeeta Gupta,33,Male,Human Resources,Associate,26/03/18,132256,4,66,Promoted,Delhi,,,3021,0.75,0.6,0.97416855,0.75,High,,,
EMP0330,Amit Rao,40,Female,Operations,Coordinator,14/02/22,177094,1,94.5,Promoted,Kochi,,,1600,0,0.935294118,0.515337423,0.384,Low,,,
EMP0331,Chirag Kapoor,58,Female,Customer Support,Coordinator,01/09/19,255234,3,53,Not Promoted,Ahmedabad,,,2497,0.5,0.447058824,0.804972554,0.545,Medium,,,
EMP0332,Swati Pandey,40,Female,Marketing,Coordinator,21/10/21,273889,3,99.7,Not Promoted,Mumbai,,,1716,0.5,0.996470588,0.552793026,0.659,High,,,
EMP0333,Arun Mehta,45,Male,Sales,Coordinator,18/04/22,181349,2,62.1,Not Promoted,Coimbatore,,,1537,0.25,0.554117647,0.494995157,0.39,Low,,,
EMP0334,Gitanjali Yadav,46,Female,Information Technology,Executive,24/02/19,215701,1,83.8,Promoted,Mumbai,,,2686,0,0.809411765,0.865999354,0.416,Low,,,
EMP0694,Divya Reddy,25,Female,Sales,Team Lead,27/07/22,92872,5,88.7,Not Promoted,Kolkata,,,1437,1,0.867058824,0.462705844,0.853,High,,,
EMP0336,Ananya Iyer,45,Male,Operations,Specialist,23/06/23,299181,3,87.8,Promoted,Mumbai,,,1106,0.5,0.856470588,0.355828221,0.578,Medium,,,
EMP0337,Lakshmi Chatterjee,44,Male,Information Technology,Executive,21/04/21,119992,3,73.6,Not Promoted,Kochi,,,1899,0.5,0.689411765,0.611882467,0.579,Medium,,,
EMP0338,Vikram Kumar,52,Female,Logistics,Engineer,21/07/23,250431,2,93.3,Promoted,Pune,,,1078,0.25,0.921176471,0.346787213,0.471,Medium,,,
EMP0339,Vishal Malhotra,37,Female,Sales,Supervisor,05/08/24,219894,4,74.8,Promoted,Pune,,,697,0.75,0.703529412,0.223764934,0.631,Medium,,,
EMP0340,Vinay Verma,39,Female,Sales,Associate,02/08/23,5000000,5,86.9,Not Promoted,Mumbai,,,1066,1,0.845882353,0.342912496,0.822,High,,,
EMP0341,Lakshmi Kapoor,29,Male,Customer Support,Associate,12/02/24,138039,3,50.6,Promoted,Mumbai,,,872,0.5,0.418823529,0.28027123,0.432,Low,,,
EMP1330,Sangeeta Menon,52,Female,Logistics,Executive,16/12/21,162596,5,95.6,Not Promoted,Coimbatore,,,1660,1,0.948235294,0.534711011,0.891,High,,,
EMP0343,Mohan Banerjee,39,Male,Operations,Associate,12/02/23,235224,5,71.6,Not Promoted,Pune,,,1237,1,0.665882353,0.39812722,0.779,High,,,
EMP0344,Ananya Chatterjee,45,Male,Operations,Engineer,13/03/19,218348,5,86.2,Promoted,Delhi,,,2669,1,0.837647059,0.860510171,0.923,High,,,
EMP0345,Mohan Reddy,44,Female,Marketing,Manager,04/07/23,113664,3,71,Not Promoted,Coimbatore,,,1095,0.5,0.658823529,0.352276397,0.518,Medium,,,
EMP0346,Divya Krishnan,30,Male,Marketing,Manager,15/09/24,168290,5,81.3,Promoted,Coimbatore,,,656,1,0.78,0.210526316,0.776,High,,,
EMP0347,Aarav Chopra,30,Male,Marketing,Analyst,19/03/25,246767,3,89.2,Not Promoted,Chennai,,,471,0.5,0.872941176,0.150791088,0.542,Medium,,,
EMP0348,Shalini Rajan,58,Female,Human Resources,Team Lead,02/02/23,70740,3,97.8,Promoted,Mumbai,,,1247,0.5,0.974117647,0.401356151,0.623,Medium,,,
EMP0349,Arjun Sinha,57,Female,Human Resources,Associate,13/02/20,92447,3,65.5,Not Promoted,Hyderabad,,,2332,0.5,0.594117647,0.751695189,0.579,Medium,,,
EMP0350,Kiran Kumar,33,Male,Marketing,Associate,30/01/20,198541,3,61.7,Promoted,Pune,,,2346,0.5,0.549411765,0.756215693,0.566,Medium,,,
EMP0351,Priya Rao,22,Male,Information Technology,Consultant,03/04/20,159496,1,68.3,Not Promoted,Delhi,,,2282,0,0.627058824,0.735550533,0.335,Low,,,
EMP0352,Ananya Banerjee,41,Female,Human Resources,Manager,24/10/19,231929,3,52.5,Promoted,Mumbai,,,2444,0.5,0.441176471,0.787859219,0.54,Medium,,,
EMP0353,Divya Tiwari,52,Male,Sales,Engineer,03/09/23,196640,2,99.3,Not Promoted,Mumbai,,,1034,0.25,0.991764706,0.332579916,0.489,Medium,,,
EMP0354,Tanvi Kapoor,25,Male,Research & Development,Supervisor,05/05/24,277193,3,77.9,Promoted,Ahmedabad,,,789,0.5,0.74,0.253471101,0.523,Medium,,,
EMP0355,Kavya Banerjee,41,Female,Operations,Consultant,09/01/18,237820,5,66.3,Not Promoted,Kochi,,,3097,1,0.603529412,0.998708428,0.881,High,,,
EMP0356,Lokesh Patel,21,Female,Information Technology,Coordinator,30/03/21,162596,1,99.2,Not Promoted,Chennai,,,1921,0,0.990588235,0.618986116,0.421,Low,,,
EMP0357,Lakshmi Banerjee,44,Female,Sales,Supervisor,10/10/21,107469,2,54.7,Not Promoted,Coimbatore,,,1727,0.25,0.467058824,0.55634485,0.376,Low,,,
EMP0358,Aditya Rao,32,Female,Administration,Specialist,19/02/23,108952,5,98.8,Not Promoted,Hyderabad,,,1230,1,0.985882353,0.395866968,0.875,High,,,
EMP0359,Divya Lal,38,Female,Logistics,Manager,09/08/18,127418,3,83.5,Not Promoted,Ahmedabad,,,2885,0.5,0.805882353,0.930255086,0.678,High,,,
EMP1265,Pankaj Gupta,25,Female,Operations,Associate,18/05/22,183674,3,91,Not Promoted,Kolkata,,,1507,0.5,0.894117647,0.485308363,0.615,Medium,,,
EMP0361,Bhavna Krishnan,50,Male,Sales,Consultant,09/02/24,65317,3,69.3,Not Promoted,Kochi,,,875,0.5,0.638823529,0.28123991,0.498,Medium,,,
EMP0362,Esha Pillai,30,Male,Finance,Engineer,27/03/21,167868,1,63.7,Not Promoted,Hyderabad,,,1924,0,0.572941176,0.619954795,0.296,Low,,,
EMP0363,Anjali Mehta,45,Male,Customer Support,Supervisor,07/11/19,33123,1,87.5,Not Promoted,Hyderabad,,,2430,0,0.852941176,0.783338715,0.413,Low,,,
EMP0364,Ramesh Banerjee,59,Male,Information Technology,Specialist,05/11/22,211924,5,92.5,Not Promoted,Kochi,,,1336,1,0.911764706,0.430093639,0.86,High,,,
EMP0365,Sangeeta Tiwari,25,Female,Human Resources,Associate,28/06/24,207081,3,77.3,Not Promoted,Kochi,,,735,0.5,0.732941176,0.236034872,0.517,Medium,,,
EMP0366,Indira Shah,37,Female,Finance,Consultant,26/03/25,202505,1,96.8,Not Promoted,Delhi,,,464,0,0.962352941,0.148530836,0.318,Low,,,
EMP0367,Vijay Chatterjee,27,Male,Human Resources,Associate,15/08/24,171735,3,82.7,Promoted,Chennai,,,687,0.5,0.796470588,0.220536003,0.533,Medium,,,
EMP0368,Shivam Malhotra,49,Female,Customer Support,Supervisor,20/07/22,172297,5,77,Not Promoted,Pune,,,1444,1,0.729411765,0.464966096,0.812,High,,,
EMP0370,Madhuri Chopra,48,Male,Administration,Associate,01/02/24,273105,5,53.5,Not Promoted,Mumbai,,,883,1,0.452941176,0.283823055,0.693,High,,,
EMP0371,Pooja Das,54,Female,Research & Development,Manager,09/08/18,266673,2,68.2,Promoted,Coimbatore,,,2885,0.25,0.625882353,0.930255086,0.499,Medium,,,
EMP0372,Gitanjali Bose,42,Male,Information Technology,Executive,16/07/18,79802,3,89.8,Not Promoted,Delhi,,,2909,0.5,0.88,0.938004521,0.702,High,,,
EMP0373,Esha Sinha,34,Female,Information Technology,Coordinator,07/07/18,295279,3,84.8,Promoted,Bengaluru,,,2918,0.5,0.821176471,0.940910559,0.685,High,,,
EMP0374,Neha Tiwari,46,Female,Logistics,Manager,29/10/19,67025,2,54.6,Promoted,Ahmedabad,,,2439,0.25,0.465882353,0.786244753,0.422,Low,,,
EMP0375,Shivam Pandey,41,Male,Information Technology,Coordinator,10/11/18,127621,3,99.3,Not Promoted,Coimbatore,,,2792,0.5,0.991764706,0.900226025,0.728,High,,,
EMP0376,Nikhil Patel,40,Male,Logistics,Supervisor,26/05/18,100,4,71.7,Promoted,Bengaluru,,,2960,0.75,0.667058824,0.95447207,0.766,High,,,
EMP0377,Rekha Mishra,60,Male,Logistics,Team Lead,16/06/20,170251,2,59.6,Not Promoted,Pune,,,2208,0.25,0.524705882,0.711656442,0.425,Low,,,
EMP0378,Anjali Verma,58,Female,Administration,Engineer,25/12/25,170860,2,60.4,Not Promoted,Kochi,,,190,0.25,0.534117647,0.060058121,0.297,Low,,,
EMP0379,Deepa Nair,26,Female,Administration,Team Lead,02/03/19,65330,4,76.5,Not Promoted,Chennai,,,2680,0.75,0.723529412,0.864061995,0.765,High,,,
EMP0380,Kavya Tiwari,27,Male,Operations,Associate,18/08/19,94908,2,95.3,Not Promoted,Bengaluru,,,2511,0.25,0.944705882,0.809493058,0.57,Medium,,,
EMP0381,Zara Banerjee,55,Male,Logistics,Executive,12/10/23,65891,3,61.7,Promoted,Delhi,,,995,0.5,0.549411765,0.319987084,0.479,Medium,,,
EMP0382,Deepa Patel,31,Female,Information Technology,Coordinator,14/01/25,78688,5,54.2,Not Promoted,Mumbai,,,535,1,0.461176471,0.171456248,0.673,High,,,
EMP0383,Usha Yadav,41,Male,Marketing,Associate,29/04/20,225158,2,58.9,Promoted,Hyderabad,,,2256,0.25,0.516470588,0.727155312,0.425,Low,,,
EMP0384,Deepak Lal,21,Female,Research & Development,Analyst,23/11/24,22545,3,52.6,Not Promoted,Kochi,,,587,0.5,0.442352941,0.18824669,0.42,Low,,,
EMP0385,Lokesh Malhotra,29,Male,Logistics,Supervisor,05/05/24,131962,3,52.9,Promoted,Kolkata,,,789,0.5,0.445882353,0.253471101,0.434,Low,,,
EMP0386,Harish Kulkarni,58,Male,Research & Development,Specialist,30/01/22,272049,3,77,Not Promoted,Delhi,,,1615,0.5,0.729411765,0.52018082,0.573,Medium,,,
EMP0387,Sunita Mehta,45,Female,Finance,Coordinator,21/10/25,157348,3,59.6,Not Promoted,Mumbai,,,255,0.5,0.524705882,0.081046174,0.424,Low,,,
EMP0388,Komal Banerjee,54,Male,Information Technology,Manager,09/03/18,166268,3,84.3,Promoted,Ahmedabad,,,3038,0.5,0.815294118,0.979657733,0.691,High,,,
EMP0389,Hemant Gandhi,27,Male,Research & Development,Manager,21/02/24,264823,3,62.1,Promoted,Coimbatore,,,863,0.5,0.554117647,0.277365192,0.472,Medium,,,
EMP0390,Usha Tiwari,49,Female,Logistics,Manager,10/12/23,170536,3,68,Promoted,Hyderabad,,,936,0.5,0.623529412,0.30093639,0.497,Medium,,,
EMP0391,Nisha Lal,40,Male,Information Technology,Coordinator,19/03/26,266161,2,59.1,Promoted,Kolkata,,,106,0.25,0.518823529,0.032935098,0.287,Low,,,
EMP0392,Mohan Sinha,48,Female,Administration,Engineer,21/01/19,205316,1,88.3,Promoted,Mumbai,,,2720,0,0.862352941,0.87697772,0.434,Low,,,
EMP0393,Meera Menon,26,Female,Human Resources,Team Lead,01/02/20,171414,2,69.7,Not Promoted,Delhi,,,2344,0.25,0.643529412,0.755569906,0.469,Medium,,,
EMP0394,Meera Iyer,65,Female,Marketing,Analyst,22/03/24,294371,1,74.8,Not Promoted,Delhi,,,833,0,0.703529412,0.267678398,0.265,Low,,,
EMP0395,Usha Chauhan,48,Male,Marketing,Analyst,12/07/20,203087,5,55,Not Promoted,Coimbatore,,,2182,1,0.470588235,0.703261221,0.782,High,,,
EMP0589,Tanvi Shah,58,Female,Operations,Consultant,11/09/22,260758,3,91.5,Not Promoted,Coimbatore,,,1391,0.5,0.9,0.447852761,0.61,Medium,,,
EMP0397,Seema Mukherjee,21,Male,Administration,Analyst,25/12/22,184508,2,66.4,Promoted,Kochi,,,1286,0.25,0.604705882,0.413948983,0.389,Low,,,
EMP0398,Shreya Mishra,44,Female,Finance,Associate,17/02/24,192311,5,96.8,Not Promoted,Chennai,,,867,1,0.962352941,0.278656765,0.844,High,,,
EMP0399,Indira Menon,34,Female,Operations,Associate,14/09/22,94084,3,73,Not Promoted,Hyderabad,,,1388,0.5,0.682352941,0.446884081,0.544,Medium,,,
EMP0400,Harish Gupta,51,Female,Research & Development,Coordinator,25/10/19,210895,1,100,Promoted,Delhi,,,2443,0,1,0.787536325,0.458,Medium,,,
EMP0401,Vishal Yadav,55,Male,Marketing,Consultant,17/11/23,73152,4,65.4,Not Promoted,Coimbatore,,,959,0.75,0.592941176,0.308362932,0.615,Medium,,,
EMP0402,Madhuri Rajan,27,Male,Marketing,Associate,27/06/22,289171,1,71.7,Not Promoted,Bengaluru,,,1467,0,0.667058824,0.472392638,0.295,Low,,,
EMP0403,Rekha Pandey,32,Female,Administration,Associate,13/10/23,195669,2,80,Not Promoted,Kochi,,,994,0.25,0.764705882,0.319664191,0.418,Low,,,
EMP0404,Aarav Rao,38,Female,Sales,Analyst,03/11/25,273335,4,57.7,Not Promoted,Coimbatore,,,242,0.75,0.502352941,0.076848563,0.541,Medium,,,
EMP0405,Lakshmi Rajan,38,Male,Research & Development,Associate,12/07/18,95238,3,62.8,Not Promoted,Delhi,,,2913,0.5,0.562352941,0.939296093,0.607,Medium,,,
EMP0406,Ramesh Chauhan,43,Male,Marketing,Associate,15/06/19,97896,3,52.3,Not Promoted,Delhi,,,2575,0.5,0.438823529,0.830158218,0.548,Medium,,,
EMP0407,Harish Desai,22,Male,Marketing,Analyst,07/07/25,163203,2,91.3,Not Promoted,Delhi,,,361,0.25,0.897647059,0.115272845,0.417,Low,,,
EMP0408,Shivam Rajan,51,Female,Operations,Team Lead,10/03/20,266981,3,77.3,Not Promoted,Kochi,,,2306,0.5,0.732941176,0.743299968,0.619,Medium,,,
EMP0409,Sanjay Reddy,45,Female,Operations,Executive,11/06/18,70054,5,70.9,Not Promoted,Chennai,,,2944,1,0.657647059,0.94930578,0.887,High,,,
EMP0411,Rohit Pandey,37,Female,Operations,Analyst,08/06/25,257130,3,81.9,Not Promoted,Kochi,,,390,0.5,0.787058824,0.124636745,0.511,Medium,,,
EMP0412,Vijay Reddy,35,Female,Marketing,Team Lead,22/06/25,74671,5,53.8,Not Promoted,Unknown,,,376,1,0.456470588,0.120116242,0.661,High,,,
EMP0413,Arun Patel,22,Male,Research & Development,Associate,21/07/23,218311,3,91.8,Not Promoted,Mumbai,,,1078,0.5,0.903529412,0.346787213,0.59,Medium,,,
EMP0414,Indira Das,33,Male,Customer Support,Coordinator,03/06/19,247232,5,71.4,Promoted,Mumbai,,,2587,1,0.663529412,0.834032935,0.866,High,,,
EMP0415,Gaurav Kapoor,30,Female,Logistics,Analyst,21/08/23,196890,2,65,Not Promoted,Chennai,,,1047,0.25,0.588235294,0.336777527,0.369,Low,,,
EMP0416,Harish Menon,38,Male,Marketing,Team Lead,09/09/22,34431,2,74.8,Not Promoted,Kochi,,,1393,0.25,0.703529412,0.448498547,0.426,Low,,,
EMP0417,Akash Kapoor,48,Female,Administration,Specialist,29/08/24,26721,2,83.6,Not Promoted,Ahmedabad,,,673,0.25,0.807058824,0.216015499,0.41,Low,,,
EMP0418,Esha Lal,44,Unknown,Research & Development,Specialist,20/12/22,48619,3,75.5,Promoted,Mumbai,,,1291,0.5,0.711764706,0.415563448,0.547,Medium,,,
EMP0419,Harish Lal,30,Male,Information Technology,Consultant,05/11/23,132155,5,82.2,Promoted,Delhi,,,971,1,0.790588235,0.312237649,0.8,High,,,
EMP0420,Shalini Agarwal,29,Male,Customer Support,Consultant,22/09/19,117513,3,90.4,Promoted,Mumbai,,,2476,0.5,0.887058824,0.798191799,0.676,High,,,
EMP0421,Rajan Banerjee,51,Female,Finance,Analyst,14/03/26,38724,2,94.7,Promoted,Pune,,,111,0.25,0.937647059,0.034549564,0.413,Low,,,
EMP0422,Seema Mukherjee,35,Male,Operations,Supervisor,31/08/19,203632,2,51.4,Not Promoted,Pune,,,2498,0.25,0.428235294,0.805295447,0.415,Low,,,
EMP0423,Anjali Patel,42,Male,Research & Development,Manager,21/06/20,43998,4,62.3,Promoted,Hyderabad,,,2203,0.75,0.556470588,0.710041976,0.684,High,,,
EMP0424,Komal Patel,30,Female,Research & Development,Coordinator,11/02/25,210784,4,79.6,Not Promoted,Kochi,,,507,0.75,0.76,0.162415241,0.635,Medium,,,
EMP0425,Shivam Rajan,39,Male,Administration,Supervisor,21/04/21,169180,2,63.5,Promoted,Delhi,,,1899,0.25,0.570588235,0.611882467,0.419,Low,,,
EMP0426,Swati Pandey,42,Female,Sales,Associate,15/02/19,34651,2,59.2,Promoted,Pune,,,2695,0.25,0.52,0.868905392,0.455,Medium,,,
EMP0427,Tanvi Mehta,34,Male,Logistics,Coordinator,13/12/21,162596,2,74.8,Promoted,Kolkata,,,1663,0.25,0.703529412,0.53567969,0.443,Low,,,
EMP0428,Nikhil Verma,60,Female,Operations,Executive,02/12/21,185591,5,54.5,Promoted,Coimbatore,,,1674,1,0.464705882,0.539231514,0.747,High,,,
EMP0429,Komal Reddy,53,Female,Information Technology,Executive,16/10/22,227552,2,64.8,Not Promoted,Mumbai,,,1356,0.25,0.585882353,0.436551501,0.388,Low,,,
EMP0430,Sanjay Chopra,51,Male,Research & Development,Supervisor,15/01/19,73161,1,51.6,Not Promoted,Chennai,,,2726,0,0.430588235,0.878915079,0.305,Low,,,
EMP0431,Shreya Desai,54,Female,Finance,Team Lead,08/10/22,179168,4,66.8,Promoted,Hyderabad,,,1364,0.75,0.609411765,0.439134646,0.646,High,,,
EMP0432,Chirag Verma,25,Unknown,Finance,Consultant,06/12/20,103046,4,61.6,Not Promoted,Coimbatore,,,2035,0.75,0.548235294,0.655795932,0.671,High,,,
EMP0433,Ananya Kumar,44,Female,Operations,Consultant,09/02/25,64600,2,82,Promoted,Pune,,,509,0.25,0.788235294,0.163061027,0.394,Low,,,
EMP0434,Rajan Lal,49,Female,Logistics,Engineer,19/08/25,230950,2,66.2,Not Promoted,Ahmedabad,,,318,0.25,0.602352941,0.10138844,0.326,Low,,,
EMP0435,Deepa Desai,53,Male,Unknown,Supervisor,14/12/22,142369,4,57,Not Promoted,Chennai,,,1297,0.75,0.494117647,0.417500807,0.607,Medium,,,
EMP0436,Usha Pandey,46,Male,Finance,Associate,12/12/22,144722,5,79,Not Promoted,Coimbatore,,,1299,1,0.752941176,0.418146593,0.81,High,,,
EMP0437,Vinay Shah,37,Male,Information Technology,Coordinator,31/12/25,295258,5,92.8,Not Promoted,Pune,,,184,1,0.915294118,0.058120762,0.786,High,,,
EMP0438,Meera Tiwari,41,Male,Marketing,Analyst,12/04/18,261440,5,86.9,Not Promoted,Hyderabad,,,3004,1,0.845882353,0.968679367,0.948,High,,,
EMP0439,Shalini Mehta,22,Female,Research & Development,Analyst,07/02/21,226122,5,81.9,Not Promoted,Chennai,,,1972,1,0.787058824,0.635453665,0.863,High,,,
EMP0440,Lakshmi Sharma,57,Female,Logistics,Manager,14/06/22,217893,1,63.9,Promoted,Bengaluru,,,1480,0,0.575294118,0.476590249,0.268,Low,,,
EMP0441,Indira Verma,41,Female,Logistics,Supervisor,11/12/19,211006,1,73.8,Not Promoted,Coimbatore,,,2396,0,0.691764706,0.772360349,0.362,Low,,,
EMP0442,Aditya Iyer,60,Male,Operations,Associate,16/07/25,264191,2,92.2,Not Promoted,Chennai,,,352,0.25,0.908235294,0.112366807,0.42,Low,,,
EMP0443,Vinay Verma,31,Male,Sales,Team Lead,13/06/22,172484,5,83.4,Not Promoted,Delhi,,,1480,1,0.804705882,0.476590249,0.837,High,,,
EMP0444,Akash Kapoor,34,Male,Finance,Specialist,26/02/24,274209,3,92.6,Promoted,Delhi,,,858,0.5,0.912941176,0.275750727,0.579,Medium,,,
EMP0445,Hemant Jain,38,Female,Information Technology,Specialist,25/12/22,102580,5,93.7,Not Promoted,Chennai,,,1286,1,0.925882353,0.413948983,0.861,High,,,
EMP1502,Aarav Mukherjee,26,Male,Information Technology,Consultant,22/03/21,245195,1,51.4,Not Promoted,Hyderabad,,,1929,0,0.428235294,0.621569261,0.253,Low,,,
EMP0447,Kavya Mehta,41,Female,Human Resources,Consultant,31/01/21,284711,3,68.6,Promoted,Mumbai,,,1979,0.5,0.630588235,0.637713917,0.567,Medium,,,
EMP0448,Sanjay Chopra,41,Male,Finance,Associate,13/06/22,121815,1,52.8,Not Promoted,Chennai,,,1480,0,0.444705882,0.476590249,0.229,Low,,,
EMP0449,Deepak Pandey,41,Female,Sales,Engineer,03/04/23,83401,1,74.4,Not Promoted,Pune,,,1187,0,0.698823529,0.381982564,0.286,Low,,,
EMP0450,Nikhil Sharma,40,Male,Logistics,Team Lead,23/05/20,93613,2,96.3,Promoted,Pune,,,2232,0.25,0.956470588,0.719405877,0.556,Medium,,,
EMP0451,Sangeeta Krishnan,27,Male,Information Technology,Associate,23/08/24,286368,3,78.7,Promoted,Pune,,,679,0.5,0.749411765,0.217952858,0.518,Medium,,,
EMP0452,Aditya Banerjee,52,Female,Sales,Consultant,21/09/24,51758,2,67.2,Not Promoted,Kochi,,,650,0.25,0.614117647,0.208588957,0.351,Low,,,
EMP0453,Sunita Das,35,Male,Unknown,Supervisor,13/06/22,227991,2,80.6,Not Promoted,Coimbatore,,,1480,0.25,0.771764706,0.476590249,0.452,Low,,,
EMP0454,Zara Bhatt,47,Unknown,Operations,Consultant,31/01/18,194143,4,68.2,Not Promoted,Delhi,,,3075,0.75,0.625882353,0.991604779,0.761,High,,,
EMP0455,Nisha Gupta,53,Female,Sales,Manager,07/10/20,233711,1,51.3,Not Promoted,Kolkata,,,2095,0,0.427058824,0.675169519,0.263,Low,,,
EMP0456,Tanvi Jain,56,Male,Logistics,Team Lead,26/07/21,145661,3,82.1,Promoted,Kolkata,,,1803,0.5,0.789411765,0.580884727,0.603,Medium,,,
EMP0457,Mohan Joshi,39,Female,Logistics,Supervisor,10/03/23,147678,2,92.5,Not Promoted,Unknown,,,1211,0.25,0.911764706,0.389731999,0.476,Medium,,,
EMP0458,Vinay Tiwari,29,Female,Customer Support,Coordinator,24/02/19,35361,1,95,Not Promoted,Kolkata,,,2686,0,0.941176471,0.865999354,0.456,Medium,,,
EMP0459,Zara Reddy,46,Male,Information Technology,Team Lead,07/08/23,273515,3,51.7,Promoted,Delhi,,,1061,0.5,0.431764706,0.34129803,0.448,Low,,,
EMP0460,Anjali Sharma,50,Female,Customer Support,Coordinator,11/06/26,135226,4,67.4,Not Promoted,Bengaluru,,,22,0.75,0.616470588,0.005812076,0.561,Medium,,,
EMP0461,Pankaj Das,50,Male,Administration,Engineer,03/04/21,129472,2,96.5,Promoted,Pune,,,1917,0.25,0.958823529,0.617694543,0.536,Medium,,,
EMP0462,Usha Menon,43,Male,Human Resources,Specialist,12/06/18,200863,2,57,Promoted,Hyderabad,,,2943,0.25,0.494117647,0.948982887,0.463,Medium,,,
EMP0463,Shreya Mehta,33,Female,Customer Support,Consultant,31/12/21,163498,1,73.9,Not Promoted,Ahmedabad,,,1645,0,0.692941176,0.529867614,0.314,Low,,,
EMP0464,Shivam Rajan,53,Female,Customer Support,Manager,22/04/25,42191,4,75.1,Not Promoted,Bengaluru,,,437,0.75,0.707058824,0.139812722,0.615,Medium,,,
EMP0465,Rahul Chopra,52,Male,Operations,Analyst,13/06/22,76106,2,69,Promoted,Chennai,,,1480,0.25,0.635294118,0.476590249,0.411,Low,,,
EMP0466,Farhan Pandey,27,Female,Logistics,Analyst,08/05/21,100333,2,72.8,Not Promoted,Delhi,,,1882,0.25,0.68,0.606393284,0.45,Low,,,
EMP0467,Vinay Kulkarni,45,Female,Operations,Coordinator,16/08/25,66971,3,53.8,Not Promoted,Kolkata,,,321,0.5,0.456470588,0.10235712,0.407,Low,,,
EMP0468,Arun Desai,21,Female,Marketing,Executive,04/12/18,151479,3,72.9,Not Promoted,Ahmedabad,,,2768,0.5,0.681176471,0.89247659,0.633,Medium,,,
EMP0469,Shalini Jain,46,Female,Sales,Specialist,06/05/25,42598,4,98.3,Not Promoted,Bengaluru,,,423,0.75,0.98,0.135292218,0.696,High,,,
EMP0470,Aditya Pandey,54,Male,Sales,Analyst,09/08/20,184766,5,98.9,Not Promoted,Ahmedabad,,,2154,1,0.987058824,0.694220213,0.935,High,,,
EMP0471,Vishal Rajan,44,Female,Sales,Supervisor,01/02/20,268076,2,98.3,Not Promoted,Pune,,,2344,0.25,0.98,0.755569906,0.57,Medium,,,
EMP0472,Hemant Pandey,38,Male,Research & Development,Specialist,11/02/21,53866,4,61.5,Not Promoted,Kolkata,,,1968,0.75,0.547058824,0.634162092,0.666,High,,,
EMP0473,Akash Chauhan,46,Male,Sales,Supervisor,31/10/22,99757,5,73.4,Promoted,Coimbatore,,,1341,1,0.687058824,0.431708105,0.792,High,,,
EMP0474,Shalini Kulkarni,38,Male,Operations,Engineer,01/10/18,165854,4,77.9,Not Promoted,Bengaluru,,,2832,0.75,0.74,0.91314175,0.78,High,,,
EMP0475,Nikhil Jain,27,Male,Administration,Team Lead,12/11/20,280825,5,67.7,Not Promoted,Delhi,,,2059,1,0.62,0.663545366,0.819,High,,,
EMP0476,Rajan Kumar,21,Female,Sales,Consultant,30/08/25,292155,4,60.3,Not Promoted,Bengaluru,,,307,0.75,0.532941176,0.097836616,0.554,Medium,,,
EMP0477,Rahul Shah,22,Male,Marketing,Engineer,15/05/20,109503,2,84.2,Promoted,Mumbai,,,2240,0.25,0.814117647,0.721989022,0.514,Medium,,,
EMP0478,Gitanjali Agarwal,60,Male,Finance,Specialist,22/10/25,256619,1,83,Promoted,Kochi,,,254,0,0.8,0.080723281,0.256,Low,,,
EMP0479,Shalini Bose,26,Male,Administration,Team Lead,18/04/22,121870,5,83.1,Promoted,Mumbai,,,1537,1,0.801176471,0.494995157,0.839,High,,,
EMP0480,Radha Hegde,54,Male,Customer Support,Team Lead,26/05/24,98471,5,74.8,Promoted,Bengaluru,,,768,1,0.703529412,0.246690345,0.76,High,,,
EMP0481,Deepak Desai,58,Female,Marketing,Supervisor,18/08/24,118344,1,72.8,Not Promoted,Delhi,,,684,0,0.68,0.219567323,0.248,Low,,,
EMP0482,Rajan Kapoor,28,Male,Information Technology,Supervisor,14/03/19,45657,3,72.5,Not Promoted,Chennai,,,2668,0.5,0.676470588,0.860187278,0.625,Medium,,,
EMP0483,Ananya Gandhi,59,Female,Operations,Coordinator,16/09/24,272000,5,91.5,Promoted,Delhi,,,655,1,0.9,0.210203423,0.812,High,,,
EMP0484,Nisha Patel,41,Male,Logistics,Supervisor,02/06/18,53418,4,61.4,Promoted,Mumbai,,,2953,0.75,0.545882353,0.952211818,0.729,High,,,
EMP0485,Anjali Lal,30,Female,Marketing,Coordinator,11/06/21,139359,3,66.8,Not Promoted,Bengaluru,,,1848,0.5,0.609411765,0.595414918,0.552,Medium,,,
EMP0486,Manish Patel,58,Male,Logistics,Analyst,20/04/25,252139,2,76.8,Not Promoted,Kolkata,,,439,0.25,0.727058824,0.140458508,0.371,Low,,,
EMP0487,Vinay Mukherjee,43,Female,Administration,Consultant,16/10/22,165430,5,99.1,Not Promoted,Kochi,,,1356,1,0.989411765,0.436551501,0.884,High,,,
EMP0488,Hemant Hegde,32,Female,Operations,Team Lead,06/09/23,224592,4,60.2,Not Promoted,Mumbai,,,1031,0.75,0.531764706,0.331611237,0.601,Medium,,,
EMP0489,Sunita Kulkarni,26,Male,Logistics,Consultant,10/06/22,23940,2,57,Promoted,Kochi,,,1484,0.25,0.494117647,0.477881821,0.369,Low,,,
